servidor,ip
testingrefundapilatam.miatech.net,10.0.0.210
jetsmart.miatech.net,10.0.0.209
praxisamemd.miatech.net,10.0.0.14
portalestestingam.miatech.net,172.31.241.63
jetsmarttesting.miatech.net,10.0.0.28
reembolsosespecialesam.miatech.net,10.0.0.63
salesauditam.miatech.net,NO_RESUELTO
managerh.miatech.net,10.0.0.23
auditcore.miatech.net,10.0.0.118
praxiscomisiones.miatech.net,10.101.12.36
amarcrefunds.miatech.net,10.0.0.31
praxisam2.miatech.net,10.0.0.105
latamrefundtest.miatech.net,10.0.0.22
aviancapctest.miatech.net,10.0.0.138
refundsky.miatech.net,10.0.0.201
praxish2.miatech.net,10.0.0.202
avservicestest.miatech.net,172.31.241.200
praxislatam.miatech.net,10.0.0.211
praxiscomisionestesting.miatech.net,172.22.65.147
services.miatech.net,10.0.0.39
praxisamtesting2.miatech.net,10.0.0.107
praxisamtesting.miatech.net,10.19.17.33
praxisam.miatech.net,10.19.17.40
praxisav.miatech.net,10.0.0.39
aviancapc.miatech.net,10.0.0.81
aviancapcdev.miatech.net,10.0.0.207
praxisamdev.miatech.net,10.0.0.205
praxisla.miatech.net,10.0.0.33
miatech.net,10.0.0.3
paymentsavtest.miatech.net,172.31.241.200
latamportal.miatech.net,10.0.0.22
latamrefundapi.miatech.net,10.0.0.22
